",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report"
"2018-08-25,Sat,Bundesliga,Matchweek 1,Home,W 2–1,Wolfsburg,Schalke 04,Y,FW,74,0,0,0,0,1,0,1,0,32,20,1,0,2,0.0,0.0,0.0,0,0,9,17,52.9,1,20,2,2,3,Match Report"
"2018-09-01,Sat,Bundesliga,Matchweek 2,Away,W 3–1,Wolfsburg,Leverkusen,Y,FW,80,1,0,0,0,4,3,0,0,33,31,1,0,2,0.4,0.4,0.0,1,0,13,22,59.1,1,21,1,0,0,Match Report"
"2018-09-15,Sat,Bundesliga,Matchweek 3,Home,D 2–2,Wolfsburg,Hertha BSC,Y,FW,90,0,0,0,0,3,1,0,0,36,31,1,0,0,0.4,0.4,0.0,1,0,15,27,55.6,0,26,0,1,1,Match Report"
"2018-09-22,Sat,Bundesliga,Matchweek 4,Home,L 1–3,Wolfsburg,Freiburg,Y,FW,90,0,1,0,0,0,0,0,0,30,13,1,0,0,0.0,0.0,0.0,3,1,18,25,72.0,1,15,0,0,0,Match Report"
"2018-09-26,Wed,Bundesliga,Matchweek 5,Away,D 0–0,Wolfsburg,Mainz 05,N,FW,9,0,0,0,0,0,0,0,0,1,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Match Report"
"2018-09-29,Sat,Bundesliga,Matchweek 6,Home,D 2–2,Wolfsburg,M'Gladbach,Y,FW,81,1,0,0,0,1,1,0,0,36,29,0,0,0,0.2,0.2,0.3,2,0,24,27,88.9,1,29,1,1,1,Match Report"
"2018-10-05,Fri,Bundesliga,Matchweek 7,Away,L 0–2,Wolfsburg,Werder Bremen,Y,FW,90,0,0,0,0,0,0,0,0,36,34,1,0,0,0.0,0.0,0.0,1,0,16,27,59.3,1,15,0,0,0,Match Report"
"2018-10-20,Sat,Bundesliga,Matchweek 8,Home,L 1–3,Wolfsburg,Bayern Munich,Y,FW,90,1,0,0,0,3,1,1,0,25,20,0,0,2,1.1,1.1,0.0,1,0,8,14,57.1,0,13,1,1,1,Match Report"
"2018-10-27,Sat,Bundesliga,Matchweek 9,Away,W 3–0,Wolfsburg,Düsseldorf,Y,FW,90,1,1,1,1,2,1,1,0,38,27,1,0,1,1.1,0.3,0.3,3,1,21,26,80.8,5,26,7,0,2,Match Report"
