",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"2018-10-30,Tue,DFB-Pokal,Second round,Away,W 2–0,Wolfsburg,Hannover 96,Y,FW,90,1,0,0,0,1,1,0,0,,,,1,,,,,,,,,,,,,,,Match Report"
"2018-11-03,Sat,Bundesliga,Matchweek 10,Home,L 0–1,Wolfsburg,Dortmund,Y,FW,90,0,0,0,0,0,0,0,0,33,25,3,0,2,0.0,0.0,0.0,1,0,19,24,79.2,2,18,2,0,0,Match Report"
"2018-11-09,Fri,Bundesliga,Matchweek 11,Away,L 1–2,Wolfsburg,Hannover 96,Y,FW,90,1,0,1,1,3,2,0,0,32,11,0,0,0,1.2,0.5,1.3,7,1,19,27,70.4,1,20,2,1,1,Match Report"
"2018-11-24,Sat,Bundesliga,Matchweek 12,Home,W 1–0,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,0,0,0,0,31,25,0,0,2,0.0,0.0,0.0,0,0,12,24,50.0,2,18,1,2,3,Match Report"
"2018-12-02,Sun,Bundesliga,Matchweek 13,Away,W 2–1,Wolfsburg,Eint Frankfurt,Y,FW,90,0,0,0,0,3,1,1,0,43,12,0,1,0,0.4,0.4,0.0,1,0,17,31,54.8,4,26,5,1,1,Match Report"
"2018-12-08,Sat,Bundesliga,Matchweek 14,Home,D 2–2,Wolfsburg,Hoffenheim,Y,FW,90,0,0,0,0,1,0,0,0,27,18,1,0,0,0.1,0.1,0.0,0,0,14,18,77.8,2,17,2,1,2,Match Report"
"2018-12-14,Fri,Bundesliga,Matchweek 15,Away,W 2–0,Wolfsburg,Nürnberg,Y,FW,86,0,0,0,0,2,0,0,0,42,19,1,1,0,0.2,0.2,0.1,2,0,23,33,69.7,0,27,3,1,1,Match Report"
"2018-12-18,Tue,Bundesliga,Matchweek 16,Home,W 2–0,Wolfsburg,Stuttgart,Y,FW,90,1,0,0,0,2,2,0,0,39,7,0,0,1,0.3,0.3,0.2,6,1,24,28,85.7,2,28,0,2,2,Match Report"
"2018-12-23,Sun,Bundesliga,Matchweek 17,Away,W 3–2,Wolfsburg,Augsburg,Y,FW,90,0,0,0,0,2,0,0,0,46,28,1,1,1,0.3,0.3,0.3,3,0,22,31,71.0,3,25,6,0,0,Match Report"
"2019-01-20,Sun,Bundesliga,Matchweek 18,Away,L 1–2,Wolfsburg,Schalke 04,Y,FW,90,0,0,0,0,1,0,0,0,43,37,1,1,2,0.1,0.1,0.1,2,0,17,32,53.1,0,27,0,0,1,Match Report"
"2019-01-26,Sat,Bundesliga,Matchweek 19,Home,L 0–3,Wolfsburg,Leverkusen,Y,FW,90,0,0,0,0,5,3,0,0,37,38,1,2,1,0.3,0.3,0.1,2,0,17,19,89.5,4,17,5,0,1,Match Report"
"2019-02-02,Sat,Bundesliga,Matchweek 20,Away,W 1–0,Wolfsburg,Hertha BSC,Y,FW,90,1,0,0,0,1,1,0,0,28,25,1,0,2,0.2,0.2,0.0,0,0,12,18,66.7,0,14,0,0,2,Match Report"
"2019-02-06,Wed,DFB-Pokal,Round of 16,Away,L 0–1,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2019-02-09,Sat,Bundesliga,Matchweek 21,Away,D 3–3,Wolfsburg,Freiburg,Y,FW,89,1,1,1,1,2,0,0,0,45,46,0,1,1,0.9,0.2,0.4,5,2,27,34,79.4,0,23,4,0,0,Match Report"
"2019-02-16,Sat,Bundesliga,Matchweek 22,Home,W 3–0,Wolfsburg,Mainz 05,Y,FW,90,1,0,1,1,1,1,0,0,27,23,1,0,2,0.8,0.1,0.0,2,0,14,20,70.0,0,13,2,0,0,Match Report"
"2019-02-23,Sat,Bundesliga,Matchweek 23,Away,W 3–0,Wolfsburg,M'Gladbach,Y,FW,83,0,0,0,0,0,0,0,0,29,40,0,0,3,0.0,0.0,0.0,0,0,14,19,73.7,0,19,1,2,2,Match Report"
"2019-03-03,Sun,Bundesliga,Matchweek 24,Home,D 1–1,Wolfsburg,Werder Bremen,Y,FW,90,0,0,0,0,1,1,0,0,30,33,1,1,0,0.0,0.0,0.3,1,0,13,22,59.1,0,21,0,0,1,Match Report"
"2019-03-09,Sat,Bundesliga,Matchweek 25,Away,L 0–6,Wolfsburg,Bayern Munich,Y,FW,90,0,0,0,0,0,0,0,0,37,42,0,1,2,0.0,0.0,0.0,0,0,24,28,85.7,1,20,2,0,1,Match Report"
"2019-03-16,Sat,Bundesliga,Matchweek 26,Home,W 5–2,Wolfsburg,Düsseldorf,Y,FW,90,3,2,0,0,5,4,0,0,46,36,1,0,1,2.3,2.3,1.3,6,3,26,29,89.7,2,26,3,0,4,Match Report"
"2019-03-30,Sat,Bundesliga,Matchweek 27,Away,L 0–2,Wolfsburg,Dortmund,Y,FW,90,0,0,0,0,2,1,0,0,39,33,0,0,0,0.2,0.2,0.0,1,0,20,24,83.3,2,28,2,0,0,Match Report"
"2019-04-06,Sat,Bundesliga,Matchweek 28,Home,W 3–1,Wolfsburg,Hannover 96,Y,FW,90,0,0,0,0,3,2,0,0,28,22,1,0,2,0.6,0.6,0.1,1,0,15,20,75.0,2,23,3,6,7,Match Report"
"2019-04-13,Sat,Bundesliga,Matchweek 29,Away,L 0–2,Wolfsburg,RB Leipzig,Y,FW,90,0,0,0,0,1,0,0,0,40,25,1,0,2,0.2,0.2,0.0,1,0,20,30,66.7,1,18,3,0,0,Match Report"
"2019-04-22,Mon,Bundesliga,Matchweek 30,Home,D 1–1,Wolfsburg,Eint Frankfurt,Y,FW,90,0,0,0,0,3,2,0,0,37,20,0,0,0,0.5,0.5,0.0,1,0,21,33,63.6,3,24,0,0,0,Match Report"
"2019-04-28,Sun,Bundesliga,Matchweek 31,Away,W 4–1,Wolfsburg,Hoffenheim,Y,FW,90,2,1,0,0,2,2,0,0,39,22,1,0,1,0.5,0.5,0.1,3,1,19,28,67.9,1,30,3,0,1,Match Report"
"2019-05-04,Sat,Bundesliga,Matchweek 32,Home,W 2–0,Wolfsburg,Nürnberg,Y,FW,83,0,0,0,0,0,0,0,0,20,28,0,0,1,0.0,0.0,0.1,1,0,11,15,73.3,2,19,6,1,2,Match Report"
"2019-05-11,Sat,Bundesliga,Matchweek 33,Away,L 0–3,Wolfsburg,Stuttgart,Y,FW,90,0,0,0,0,1,0,0,0,29,17,2,1,1,0.1,0.1,0.0,1,0,13,19,68.4,1,12,3,0,0,Match Report"
"2019-05-18,Sat,Bundesliga,Matchweek 34,Home,W 8–1,Wolfsburg,Augsburg,Y,FW,90,3,1,0,0,5,3,0,0,17,29,1,0,0,0.9,0.9,0.2,1,1,5,8,62.5,0,9,2,0,0,Match Report"
",,,,,17-7-12,,,35/36,,3105,18,7,4,4,61,33,4,0,1131,869,24,11,34,13.2,10.2,5.3,60,11,562,800,70.3,45,687,72,22,40,"
