Rk,Player,90s,% Shots on Target,Shots on Target ,Expected Goals,Non-Penalty xG,Non-Penalty xG/Shot,Shot-Creating Actions,Shot-Creating Actions Live Ball,Key Pass,Pass into Pen.Area,Progressive Pass,Total Carrying Dist.,Progressice Carrying Dist.,Progressive Carries,Carries into Final 3rd,Carries into Pen.Area
124,Marin Tomasov,4.4,28.6,0.45,0.18,0.18,0.11,3.15,2.05,1.82,1.59,2.27,122,46.1,2.05,0.68,0.23
133,Eran Zahavi,5.9,48,2.05,0.47,0.47,0.11,2.22,2.03,1.53,1.02,3.9,81,38.5,0.68,0.68,0
135,Philip Zinckernagel,3,60,1,0.1,0.1,0.07,4.35,3,2,2.67,4.33,233.3,105.3,4.33,2,2.67
136,Andrija Živković,3.8,60,0.78,0.24,0.24,0.17,3.65,2.63,1.58,1.58,3.95,133.4,55.3,1.84,1.05,0.53
138,Leon Bailey,4.2,30,0.72,0.29,0.29,0.12,4.81,2.14,1.67,1.67,2.14,245.2,112.1,3.57,2.38,2.62
139,Lucas Beltrán,3.8,50,0.53,0.08,0.08,0.07,2.65,2.37,1.05,0.26,2.37,133.4,32.4,0.79,0.26,0.53
140,Christopher Bonsu Baah,3.7,0,0,0.08,0.08,0.03,4.09,2.7,1.35,1.62,4.86,203,90.5,3.24,1.89,1.08
142,Hugo Cuypers,3.6,38.5,1.41,0.39,0.39,0.11,4.78,2.78,1.94,0.83,2.5,81.4,24.7,0.28,1.11,0
143,Mario Čuže,4.8,20,0.21,0.06,0.06,0.06,1.04,0.83,0.42,0.42,1.46,82.5,36.3,1.04,0.21,0.42
147,Árni Frederiksberg,4.7,80,0.86,0.06,0.06,0.05,3.63,0.85,1.7,0.85,2.13,94.7,33.4,1.06,0.64,0.43
148,Nazmi Gripshi,5.3,9.1,0.19,0.11,0.11,0.06,1.32,0.75,0.57,0.38,2.83,245.8,104.3,2.83,3.96,0.57
151,Walid Hamidi,3.2,50,0.32,0.03,0.03,0.06,1.89,1.88,1.25,0,1.25,213.4,77.2,1.88,2.19,0.63
155,Đorđe Ivanović,4.6,60,0.65,0.07,0.07,0.06,2.4,1.74,0.65,0.22,2.17,160.4,58.7,1.96,0.87,1.3
159,Topi Keskinen,4.7,75,1.28,0.15,0.15,0.1,1.92,1.28,0.64,0.64,1.7,156.6,65.5,1.91,1.28,1.28
161,Claes Kronberg,3.1,0,0,0.06,0.06,0.09,0.32,0.32,0,0,2.26,82.3,33.5,0.65,0,0
169,Marquinhos,5.9,41.7,0.85,0.15,0.15,0.07,2.2,1.36,1.02,0.51,2.03,151.2,72.2,2.37,1.69,0.68
171,Milson,5.8,30,0.52,0.1,0.1,0.06,2.94,1.72,1.03,0.86,2.41,271.4,166.7,7.07,3.45,2.93
172,Nemanja Motika,4.4,38.5,1.14,0.3,0.3,0.1,2.5,0.91,0.68,0.23,1.59,192,86.1,3.41,2.05,1.59
173,Jackson Muleka,3.5,23.1,0.86,0.2,0.2,0.05,1.71,1.14,0,0.86,1.43,156.6,65.4,2,2,1.14
177,Kelvin Ofori,5.4,100,0.18,0.06,0.06,0.3,2.76,2.41,1.3,1.11,3.15,153.1,63,1.3,1.85,0.19
178,Joseph Paintsil,4.7,58.3,1.49,0.72,0.4,0.15,3.81,1.91,1.06,1.28,3.62,186.4,86.2,2.98,0,1.7
180,Amahl Pellegrino,5.7,41.7,0.88,0.56,0.42,0.2,3.85,2.63,1.4,2.81,4.39,141.8,60.7,1.4,1.93,1.05
189,Dušan Tadić,3.4,25,0.29,0.32,0.09,0.08,3.77,3.24,0.88,2.65,9.71,162.1,86.5,2.94,1.18,0.29
191,Bernard Tekpetey,4.9,40,1.23,0.2,0.2,0.06,5.11,2.45,2.45,1.63,5.71,175.1,90.8,3.67,1.63,1.84
194,Cenk Tosun,3.1,37.5,0.96,0.29,0.29,0.11,1.93,1.29,0.32,0.32,0.97,66.1,24.8,0.65,0.32,0.65
197,Caio Vidal,4.2,33.3,0.72,0.1,0.1,0.04,1.92,1.19,0.48,0.48,2.86,156.2,89.8,2.62,2.86,0.95
198,Gabriel Vidovic,4.5,50,1.55,0.22,0.22,0.07,3.99,3.33,1.56,0.89,2.67,167.1,76.9,2,1.56,1.56
200,Yusuf Yazıcı,4.7,33.3,1.05,0.53,0.36,0.12,2.74,1.91,0.85,2.34,4.04,174.5,72.3,2.34,2.34,0.85
201,Nicolò Zaniolo,3.3,58.3,2.12,0.36,0.36,0.1,3.33,2.42,1.82,0.91,2.12,194.8,83,4.24,2.42,1.52
202,Andi Zeqiri,3.1,40,1.29,0.71,0.71,0.22,0.32,0.32,0.32,0.32,1.29,58.7,15.8,0,0.32,0
