Takım,matchdate turkce,Comp Short,Hafta,Season long,Match Date,Matchid,Max date,month turkce,Season,GD,Goals For,Goals For (copy),Maç,Points,points gd2,Shots For,X Goals For,X Goals For (copy),Şut başına xG
Y. Malatyaspor,22 Mayıs 2022,TUR,9,  2021-22,10/16/2021,ADSMLT2122,5/22/2022,Mayıs,2122,2,2,2,1,3,302,10,1.052591,1.052591,0.1052591
Kasimpasa,22 Mayıs 2022,TUR,21,  2021-22,1/16/2022,GIRKSP2122,5/22/2022,Mayıs,2122,2,2,2,1,3,302,14,3.182536,3.182536,0.227324
Altay,22 Mayıs 2022,TUR,24,  2021-22,02.06.22,GOZALT2122,5/22/2022,Mayıs,2122,2,2,2,1,3,302,5,1.101267,1.101267,0.2202534
Adana Demirspor,22 Mayıs 2022,TUR,26,  2021-22,2/20/2022,GAZADS2122,5/22/2022,Mayıs,2122,3,3,3,1,3,303,18,3.508731,3.508731,0.1949295
Basaksehir,22 Mayıs 2022,TUR,15,  2021-22,12.05.21,HATBSK2122,5/22/2022,Mayıs,2122,3,3,3,1,3,303,16,3.115099,3.115099,0.194693687
Kasimpasa,22 Mayıs 2022,TUR,34,  2021-22,4/25/2022,BJKKSP2122,5/22/2022,Mayıs,2122,3,3,3,1,3,303,9,1.454537,1.454537,0.161615222
Trabzonspor,22 Mayıs 2022,TUR,26,  2021-22,2/20/2022,ALATRB2122,5/22/2022,Mayıs,2122,4,4,4,1,3,304,17,3.134759,3.134759,0.184397588
Fenerbahce,22 Mayıs 2022,TUR,31,  2021-22,04.02.22,KAYFEN2122,5/22/2022,Mayıs,2122,4,4,4,1,3,304,17,2.776294,2.776294,0.163311412
Giresunspor,22 Mayıs 2022,TUR,14,  2021-22,11/27/2021,BJKGIR2122,5/22/2022,Mayıs,2122,4,4,4,1,3,304,12,1.766716,1.766716,0.147226333
Fenerbahce,22 Mayıs 2022,TUR,38,  2021-22,5/21/2022,MLTFEN2122,5/22/2022,Mayıs,2122,5,5,5,1,3,305,29,3.54597,3.54597,0.122274828
Fenerbahce,22 Mayıs 2022,TUR,34,  2021-22,4/22/2022,RIZFEN2122,5/22/2022,Mayıs,2122,6,6,6,1,3,306,20,4.948547,4.948547,0.24742735
Fenerbahce,22 Mayıs 2022,TUR,7,  2021-22,9/26/2021,HATFEN2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,15,3.7193,3.7193,0.247953333
Trabzonspor,22 Mayıs 2022,TUR,12,  2021-22,11.06.21,BJKTRB2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,8,0.7488734,0.7488734,0.093609175
Trabzonspor,22 Mayıs 2022,TUR,23,  2021-22,1/23/2022,GALTRB2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,19,0.9681424,0.9681424,0.050954863
Trabzonspor,22 Mayıs 2022,TUR,18,  2021-22,12/21/2021,ALTTRB2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,15,1.612037,1.612037,0.107469133
Trabzonspor,22 Mayıs 2022,TUR,8,  2021-22,10.02.21,KAYTRB2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,16,2.274613,2.274613,0.142163312
Hatayspor,22 Mayıs 2022,TUR,16,  2021-22,12.10.21,ALTHAT2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,12,2.384248,2.384248,0.198687333
Alanyaspor,22 Mayıs 2022,TUR,10,  2021-22,10/24/2021,FENALA2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,3,0.9045518,0.9045518,0.301517267
Adana Demirspor,22 Mayıs 2022,TUR,20,  2021-22,01.10.22,FENADS2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,14,1.073217,1.073217,0.076658357
Fenerbahce,22 Mayıs 2022,TUR,27,  2021-22,2/28/2022,KSPFEN2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,9,2.046006,2.046006,0.227334
Fenerbahce,22 Mayıs 2022,TUR,13,  2021-22,11/21/2021,GALFEN2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,10,0.6386742,0.6386742,0.06386742
Alanyaspor,22 Mayıs 2022,TUR,36,  2021-22,05.07.22,ADSALA2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,12,1.408674,1.408674,0.1173895
Alanyaspor,22 Mayıs 2022,TUR,28,  2021-22,03.07.22,KAYALA2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,15,1.984406,1.984406,0.132293733
Altay,22 Mayıs 2022,TUR,6,  2021-22,9/21/2021,RIZALT2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,11,1.502526,1.502526,0.136593273
Fenerbahce,22 Mayıs 2022,TUR,25,  2021-22,02.12.22,GIRFEN2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,18,1.925956,1.925956,0.106997556
F. Karagumruk,22 Mayıs 2022,TUR,35,  2021-22,4/30/2022,KONKGM2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,11,1.198279,1.198279,0.108934455
F. Karagumruk,22 Mayıs 2022,TUR,27,  2021-22,2/26/2022,BSKKGM2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,5,1.084156,1.084156,0.2168312
Antalyaspor,22 Mayıs 2022,TUR,31,  2021-22,04.02.22,ALTANT2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,12,2.595073,2.595073,0.216256083
Adana Demirspor,22 Mayıs 2022,TUR,8,  2021-22,10.01.21,ANTADS2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,11,1.112445,1.112445,0.101131364
Sivasspor,22 Mayıs 2022,TUR,37,  2021-22,5/16/2022,RIZSIV2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,14,1.66875,1.66875,0.119196429
Basaksehir,22 Mayıs 2022,TUR,10,  2021-22,10/24/2021,ANTBSK2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,7,1.351465,1.351465,0.193066429
Goztepe,22 Mayıs 2022,TUR,23,  2021-22,1/22/2022,BSKGOZ2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,6,1.007312,1.007312,0.167885333
Antalyaspor,22 Mayıs 2022,TUR,11,  2021-22,11.01.21,GIRANT2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,6,1.1018,1.1018,0.183633333
Antalyaspor,22 Mayıs 2022,TUR,26,  2021-22,2/19/2022,MLTANT2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,11,0.73846,0.73846,0.067132727
Kayserispor,22 Mayıs 2022,TUR,32,  2021-22,04.09.22,GOZKAY2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,8,1.208679,1.208679,0.151084875
Giresunspor,22 Mayıs 2022,TUR,28,  2021-22,03.05.22,RIZGIR2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,15,1.64312,1.64312,0.109541333
Goztepe,22 Mayıs 2022,TUR,21,  2021-22,1/14/2022,MLTGOZ2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,11,1.88659,1.88659,0.171508182
Goztepe,22 Mayıs 2022,TUR,9,  2021-22,10/17/2021,KSPGOZ2122,5/22/2022,Mayıs,2122,1,2,2,1,3,301,13,0.7996189,0.7996189,0.061509146
Trabzonspor,22 Mayıs 2022,TUR,34,  2021-22,4/23/2022,ADSTRB2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,11,2.652297,2.652297,0.241117909
Konyaspor,22 Mayıs 2022,TUR,18,  2021-22,12/22/2021,HATKON2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,12,1.548794,1.548794,0.129066167
Alanyaspor,22 Mayıs 2022,TUR,23,  2021-22,1/23/2022,GIRALA2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,12,1.634537,1.634537,0.136211417
Adana Demirspor,22 Mayıs 2022,TUR,24,  2021-22,02.06.22,RIZADS2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,15,1.770361,1.770361,0.118024067
F. Karagumruk,22 Mayıs 2022,TUR,13,  2021-22,11/21/2021,KSPKGM2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,15,2.604256,2.604256,0.173617067
Adana Demirspor,22 Mayıs 2022,TUR,17,  2021-22,12/18/2021,ALAADS2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,11,1.504395,1.504395,0.136763182
Antalyaspor,22 Mayıs 2022,TUR,33,  2021-22,4/16/2022,ALAANT2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,8,1.249049,1.249049,0.156131125
Sivasspor,22 Mayıs 2022,TUR,17,  2021-22,12/18/2021,KSPSIV2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,7,0.7492252,0.7492252,0.107032171
Basaksehir,22 Mayıs 2022,TUR,12,  2021-22,11.06.21,MLTBSK2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,11,2.273696,2.273696,0.206699636
Adana Demirspor,22 Mayıs 2022,TUR,13,  2021-22,11/21/2021,ALTADS2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,15,2.587683,2.587683,0.1725122
Kasimpasa,22 Mayıs 2022,TUR,36,  2021-22,05.07.22,SIVKSP2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,10,1.436894,1.436894,0.1436894
Kasimpasa,22 Mayıs 2022,TUR,22,  2021-22,1/20/2022,GALKSP2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,17,2.290247,2.290247,0.134720412
Rizespor,22 Mayıs 2022,TUR,36,  2021-22,05.08.22,MLTRIZ2122,5/22/2022,Mayıs,2122,2,3,3,1,3,302,12,1.924494,1.924494,0.1603745
Altay,22 Mayıs 2022,TUR,2,  2021-22,8/21/2021,ALAALT2122,5/22/2022,Mayıs,2122,3,4,4,1,3,303,23,3.726686,3.726686,0.162029826
Konyaspor,22 Mayıs 2022,TUR,16,  2021-22,12.11.21,KGMKON2122,5/22/2022,Mayıs,2122,3,4,4,1,3,303,11,1.409385,1.409385,0.128125909
Trabzonspor,22 Mayıs 2022,TUR,1,  2021-22,8/16/2021,MLTTRB2122,5/22/2022,Mayıs,2122,4,5,5,1,3,304,14,3.944129,3.944129,0.2817235
Rizespor,22 Mayıs 2022,TUR,35,  2021-22,05.01.22,GOZRIZ2122,5/22/2022,Mayıs,2122,6,7,7,1,3,306,14,2.311975,2.311975,0.165141071
Besiktas,22 Mayıs 2022,TUR,5,  2021-22,9/18/2021,ANTBJK2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,19,1.797907,1.797907,0.094626684
Konyaspor,22 Mayıs 2022,TUR,29,  2021-22,3/13/2022,KAYKON2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,18,2.102941,2.102941,0.116830056
Konyaspor,22 Mayıs 2022,TUR,34,  2021-22,4/24/2022,MLTKON2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,13,1.695857,1.695857,0.130450538
Basaksehir,22 Mayıs 2022,TUR,35,  2021-22,4/30/2022,KSPBSK2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,16,2.858915,2.858915,0.178682188
Besiktas,22 Mayıs 2022,TUR,27,  2021-22,2/26/2022,SIVBJK2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,17,2.607494,2.607494,0.153382
Besiktas,22 Mayıs 2022,TUR,35,  2021-22,05.01.22,KAYBJK2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,17,2.549448,2.549448,0.149967529
Galatasaray,22 Mayıs 2022,TUR,8,  2021-22,10.03.21,RIZGAL2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,21,3.15474,3.15474,0.150225714
Sivasspor,22 Mayıs 2022,TUR,35,  2021-22,05.01.22,GALSIV2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,14,1.460476,1.460476,0.104319714
Sivasspor,22 Mayıs 2022,TUR,29,  2021-22,3/13/2022,ADSSIV2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,9,1.748635,1.748635,0.194292778
Galatasaray,22 Mayıs 2022,TUR,26,  2021-22,2/21/2022,GOZGAL2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,10,2.514028,2.514028,0.2514028
Kasimpasa,22 Mayıs 2022,TUR,28,  2021-22,03.05.22,GOZKSP2122,5/22/2022,Mayıs,2122,1,3,3,1,3,301,14,1.767265,1.767265,0.126233214
Antalyaspor,22 Mayıs 2022,TUR,37,  2021-22,5/15/2022,KSPANT2122,5/22/2022,Mayıs,2122,2,4,4,1,3,302,21,3.545946,3.545946,0.168854571
Kasimpasa,22 Mayıs 2022,TUR,38,  2021-22,5/21/2022,ALTKSP2122,5/22/2022,Mayıs,2122,2,4,4,1,3,302,12,2.436417,2.436417,0.20303475
Fenerbahce,22 Mayıs 2022,TUR,29,  2021-22,3/13/2022,ALAFEN2122,5/22/2022,Mayıs,2122,3,5,5,1,3,303,18,3.752653,3.752653,0.208480722
Alanyaspor,22 Mayıs 2022,TUR,16,  2021-22,12.12.21,MLTALA2122,5/22/2022,Mayıs,2122,4,6,6,1,3,304,20,3.416356,3.416356,0.1708178
F. Karagumruk,22 Mayıs 2022,TUR,5,  2021-22,9/17/2021,MLTKGM2122,5/22/2022,Mayıs,2122,1,4,4,1,3,301,12,1.297898,1.297898,0.108158167
Konyaspor,22 Mayıs 2022,TUR,20,  2021-22,01.09.22,KONSIV2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,15,0.8069616,0.8069616,0.05379744
Basaksehir,22 Mayıs 2022,TUR,29,  2021-22,3/14/2022,BSKANT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,15,1.250215,1.250215,0.083347667
Fenerbahce,22 Mayıs 2022,TUR,24,  2021-22,02.05.22,FENBSK2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,13,1.131993,1.131993,0.087076385
Alanyaspor,22 Mayıs 2022,TUR,15,  2021-22,12.04.21,ALASIV2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,9,0.5924057,0.5924057,0.065822856
F. Karagumruk,22 Mayıs 2022,TUR,38,  2021-22,5/22/2022,KGMALA2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,17,2.116437,2.116437,0.124496294
Altay,22 Mayıs 2022,TUR,9,  2021-22,10/17/2021,ALTKGM2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,18,1.446118,1.446118,0.080339889
Galatasaray,22 Mayıs 2022,TUR,5,  2021-22,9/19/2021,GALALA2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,17,0.983339,0.983339,0.057843471
Hatayspor,22 Mayıs 2022,TUR,35,  2021-22,4/30/2022,HATALT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,10,1.027372,1.027372,0.1027372
Galatasaray,22 Mayıs 2022,TUR,20,  2021-22,01.08.22,GALGIR2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,22,2.363291,2.363291,0.107422318
F. Karagumruk,22 Mayıs 2022,TUR,22,  2021-22,1/18/2022,KGMBJK2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,12,1.009237,1.009237,0.084103083
Adana Demirspor,22 Mayıs 2022,TUR,1,  2021-22,8/15/2021,ADSFEN2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,20,1.476003,1.476003,0.07380015
Goztepe,22 Mayıs 2022,TUR,2,  2021-22,8/22/2021,GOZMLT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,10,1.369203,1.369203,0.1369203
Kasimpasa,22 Mayıs 2022,TUR,5,  2021-22,9/18/2021,KSPTRB2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,15,0.8059185,0.8059185,0.0537279
Giresunspor,22 Mayıs 2022,TUR,19,  2021-22,12/25/2021,GIRHAT2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,16,1.299336,1.299336,0.0812085
Y. Malatyaspor,22 Mayıs 2022,TUR,6,  2021-22,9/21/2021,MLTSIV2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,9,0.5520179,0.5520179,0.061335322
Basaksehir,22 Mayıs 2022,TUR,1,  2021-22,8/15/2021,BSKALA2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,17,1.016171,1.016171,0.059774765
Sivasspor,22 Mayıs 2022,TUR,1,  2021-22,8/16/2021,SIVKON2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,14,1.045445,1.045445,0.074674643
Rizespor,22 Mayıs 2022,TUR,19,  2021-22,12/26/2021,RIZGAZ2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,9,0.8686143,0.8686143,0.0965127
Altay,22 Mayıs 2022,TUR,34,  2021-22,4/24/2022,ALTGAL2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,14,0.9146789,0.9146789,0.065334207
Goztepe,22 Mayıs 2022,TUR,10,  2021-22,10/23/2021,GOZTRB2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,17,1.639288,1.639288,0.096428706
Goztepe,22 Mayıs 2022,TUR,17,  2021-22,12/19/2021,GOZKGM2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,12,2.54824,2.54824,0.212353333
Goztepe,22 Mayıs 2022,TUR,8,  2021-22,10.02.21,GOZGIR2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,14,2.07265,2.07265,0.148046429
Altay,22 Mayıs 2022,TUR,23,  2021-22,1/23/2022,ALTKON2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,8,1.225266,1.225266,0.15315825
Basaksehir,22 Mayıs 2022,TUR,3,  2021-22,8/28/2021,BSKKAY2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,14,0.8638441,0.8638441,0.06170315
Giresunspor,22 Mayıs 2022,TUR,3,  2021-22,8/29/2021,GIRTRB2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,10,1.048766,1.048766,0.1048766
Y. Malatyaspor,22 Mayıs 2022,TUR,32,  2021-22,04.10.22,MLTGIR2122,5/22/2022,Mayıs,2122,-1,0,0,1,0,-1,10,0.8714422,0.8714422,0.08714422
Altay,22 Mayıs 2022,TUR,3,  2021-22,8/29/2021,ALTFEN2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,9,0.4666994,0.4666994,0.051855489
F. Karagumruk,22 Mayıs 2022,TUR,14,  2021-22,11/28/2021,KGMTRB2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,17,1.486561,1.486561,0.087444765
Adana Demirspor,22 Mayıs 2022,TUR,9,  2021-22,10/16/2021,ADSMLT2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,25,1.654759,1.654759,0.06619036
Sivasspor,22 Mayıs 2022,TUR,32,  2021-22,04.10.22,SIVBSK2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,19,1.170949,1.170949,0.061628895
Giresunspor,22 Mayıs 2022,TUR,21,  2021-22,1/16/2022,GIRKSP2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,11,0.9199765,0.9199765,0.083634227
Goztepe,22 Mayıs 2022,TUR,6,  2021-22,9/22/2021,GOZHAT2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,13,1.137032,1.137032,0.087464
Goztepe,22 Mayıs 2022,TUR,24,  2021-22,02.06.22,GOZALT2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,22,3.002361,3.002361,0.136470955
Giresunspor,22 Mayıs 2022,TUR,1,  2021-22,8/16/2021,GIRGAL2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,7,0.3353926,0.3353926,0.047913229
Y. Malatyaspor,22 Mayıs 2022,TUR,8,  2021-22,10.03.21,MLTHAT2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,15,1.227484,1.227484,0.081832267
Rizespor,22 Mayıs 2022,TUR,26,  2021-22,2/18/2022,RIZBSK2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,17,0.5964001,0.5964001,0.035082359
Goztepe,22 Mayıs 2022,TUR,30,  2021-22,3/19/2022,GOZALA2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,7,0.5923939,0.5923939,0.0846277
Rizespor,22 Mayıs 2022,TUR,4,  2021-22,09.12.21,RIZHAT2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,5,0.3188886,0.3188886,0.06377772
Altay,22 Mayıs 2022,TUR,21,  2021-22,1/16/2022,ALTALA2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,16,1.175762,1.175762,0.073485125
Goztepe,22 Mayıs 2022,TUR,12,  2021-22,11.07.21,GOZKON2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,16,1.388527,1.388527,0.086782938
Goztepe,22 Mayıs 2022,TUR,37,  2021-22,5/15/2022,GOZBJK2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,18,1.97821,1.97821,0.109900556
Y. Malatyaspor,22 Mayıs 2022,TUR,30,  2021-22,3/19/2022,MLTKSP2122,5/22/2022,Mayıs,2122,-2,0,0,1,0,-2,8,0.9773878,0.9773878,0.122173475
Konyaspor,22 Mayıs 2022,TUR,35,  2021-22,4/30/2022,KONKGM2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,15,0.9337451,0.9337451,0.062249673
Basaksehir,22 Mayıs 2022,TUR,27,  2021-22,2/26/2022,BSKKGM2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,1.323108,1.323108,0.101777538
Hatayspor,22 Mayıs 2022,TUR,7,  2021-22,9/26/2021,HATFEN2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,9,0.6406358,0.6406358,0.071181756
Fenerbahce,22 Mayıs 2022,TUR,20,  2021-22,01.10.22,FENADS2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,16,2.507846,2.507846,0.156740375
Fenerbahce,22 Mayıs 2022,TUR,10,  2021-22,10/24/2021,FENALA2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,20,2.384941,2.384941,0.11924705
Basaksehir,22 Mayıs 2022,TUR,23,  2021-22,1/22/2022,BSKGOZ2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,20,1.91795,1.91795,0.0958975
Besiktas,22 Mayıs 2022,TUR,12,  2021-22,11.06.21,BJKTRB2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,17,1.787429,1.787429,0.105142882
Galatasaray,22 Mayıs 2022,TUR,13,  2021-22,11/21/2021,GALFEN2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,14,1.876744,1.876744,0.134053143
Adana Demirspor,22 Mayıs 2022,TUR,36,  2021-22,05.07.22,ADSALA2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,14,0.9982851,0.9982851,0.071306079
Kayserispor,22 Mayıs 2022,TUR,28,  2021-22,03.07.22,KAYALA2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,3,0.2232953,0.2232953,0.074431767
Kayserispor,22 Mayıs 2022,TUR,8,  2021-22,10.02.21,KAYTRB2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,18,0.9804314,0.9804314,0.054468411
Antalyaspor,22 Mayıs 2022,TUR,8,  2021-22,10.01.21,ANTADS2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,1.244998,1.244998,0.095769077
Galatasaray,22 Mayıs 2022,TUR,23,  2021-22,1/23/2022,GALTRB2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,17,1.387181,1.387181,0.081598882
Kasimpasa,22 Mayıs 2022,TUR,27,  2021-22,2/28/2022,KSPFEN2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,16,1.31344,1.31344,0.08209
Altay,22 Mayıs 2022,TUR,18,  2021-22,12/21/2021,ALTTRB2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,14,1.362762,1.362762,0.097340143
Altay,22 Mayıs 2022,TUR,16,  2021-22,12.10.21,ALTHAT2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,5,0.4126812,0.4126812,0.08253624
Giresunspor,22 Mayıs 2022,TUR,25,  2021-22,02.12.22,GIRFEN2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,1.514814,1.514814,0.116524154
Altay,22 Mayıs 2022,TUR,31,  2021-22,04.02.22,ALTANT2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,2.126365,2.126365,0.163566538
Rizespor,22 Mayıs 2022,TUR,37,  2021-22,5/16/2022,RIZSIV2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,9,2.139235,2.139235,0.237692778
Antalyaspor,22 Mayıs 2022,TUR,10,  2021-22,10/24/2021,ANTBSK2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,0.8454209,0.8454209,0.065032377
Giresunspor,22 Mayıs 2022,TUR,11,  2021-22,11.01.21,GIRANT2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,16,2.063752,2.063752,0.1289845
Goztepe,22 Mayıs 2022,TUR,32,  2021-22,04.09.22,GOZKAY2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,19,2.242244,2.242244,0.118012842
Rizespor,22 Mayıs 2022,TUR,28,  2021-22,03.05.22,RIZGIR2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,5,0.3111217,0.3111217,0.06222434
Kasimpasa,22 Mayıs 2022,TUR,9,  2021-22,10/17/2021,KSPGOZ2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,13,1.51777,1.51777,0.116751538
Rizespor,22 Mayıs 2022,TUR,6,  2021-22,9/21/2021,RIZALT2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,16,1.180209,1.180209,0.073763063
Y. Malatyaspor,22 Mayıs 2022,TUR,26,  2021-22,2/19/2022,MLTANT2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,15,1.317379,1.317379,0.087825267
Y. Malatyaspor,22 Mayıs 2022,TUR,21,  2021-22,1/14/2022,MLTGOZ2122,5/22/2022,Mayıs,2122,-1,1,1,1,0,-1,14,1.44554,1.44554,0.103252857
Hatayspor,22 Mayıs 2022,TUR,15,  2021-22,12.05.21,HATBSK2122,5/22/2022,Mayıs,2122,-3,0,0,1,0,-3,5,0.5866186,0.5866186,0.11732372
Besiktas,22 Mayıs 2022,TUR,34,  2021-22,4/25/2022,BJKKSP2122,5/22/2022,Mayıs,2122,-3,0,0,1,0,-3,15,1.942976,1.942976,0.129531733
Gaziantep,22 Mayıs 2022,TUR,26,  2021-22,2/20/2022,GAZADS2122,5/22/2022,Mayıs,2122,-3,0,0,1,0,-3,9,0.678341,0.678341,0.075371222
Adana Demirspor,22 Mayıs 2022,TUR,34,  2021-22,4/23/2022,ADSTRB2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,14,1.613254,1.613254,0.115232429
Hatayspor,22 Mayıs 2022,TUR,18,  2021-22,12/22/2021,HATKON2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,7,1.409184,1.409184,0.201312
Alanyaspor,22 Mayıs 2022,TUR,17,  2021-22,12/18/2021,ALAADS2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,10,0.683906,0.683906,0.0683906
Alanyaspor,22 Mayıs 2022,TUR,33,  2021-22,4/16/2022,ALAANT2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,14,1.375473,1.375473,0.098248071
Altay,22 Mayıs 2022,TUR,13,  2021-22,11/21/2021,ALTADS2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,17,1.982626,1.982626,0.116625059
Sivasspor,22 Mayıs 2022,TUR,36,  2021-22,05.07.22,SIVKSP2122,5/22/2022,Mayıs,2122,-2,1,1,1,0,-2,14,1.17592,1.17592,0.083994286
