ID,Player,Tackles,Accurate passes %,Interceptions,Key passes,Acc. Long balls,Total passes,Expected Assist (xA)
111,Randell Williams,4.29,75,0,0,0,17.14,0
112,Andre Dozzell,2.07,88.14,1.03,2.07,3.1,61.03,0
113,Jayson Molumby,3.02,87.65,1.01,0,0.5,40.73,0
114,Joe Ralls,2.4,68.75,1.2,1.2,2.4,38.4,0.1
115,Shane Ferguson,1.93,68,0.64,0,1.29,16.07,0
116,Jordan Graham,0,75,3.33,0,0,26.67,0
117,Matthew Virtue-Thick,1.64,81.58,0,0.82,1.64,31.09,0
118,Onel Hernández,1.34,65.38,0,1.34,1.34,34.93,0.4
119,CJ Hamilton,0,80,0,0,0,19.57,0
120,Andy Cannon,0,62.5,0,0,2.5,20,0
121,Jamie Allen,0.59,77.36,0.59,2.37,0,31.38,0.1
122,Matthew Sorinola,1.59,68,0.53,0.53,0.53,26.47,0.5
123,Daniel Neil,2.35,78.4,0,0.34,2.35,41.98,0.1
124,Vaughn Covil,3.1,85.71,1.55,0,0,10.86,0
125,Jack Rudoni,1.69,82.95,0,0.85,1.27,37.18,0.1
126,Patrick Roberts,4.39,53.85,0,0,0,28.54,0
127,Kenneth Paal,1,72,1,0,1,37.5,0
128,Jon Russell,1.11,88.89,0.56,0,1.11,35,0
129,Thelo Aasgaard,1.58,83.33,0,0,1.58,18.95,0
130,Fankaty Dabo,0,72.92,3.36,0,0.84,40.37,0.1
131,Dan Gosling,0,45.45,0,0,1.61,17.68,0
132,Samuel Bastien,0.95,87.67,0,0.47,0.95,34.58,0.1
133,Liam Gibbs,0,93.33,7.06,0,1.76,79.41,0
134,Albert Adomah,4.19,61.54,0,3.14,2.09,27.21,0.1
135,Olamide Shodipo,0.62,85.71,0.62,0.62,0,21.58,0.1
136,Callum Lang,0.67,74,0.67,1,0,16.73,0.2
137,Jay Fulton,0.44,86.92,0,0.44,0.44,47.21,0.1
138,Alan Browne,1.39,63.11,0.35,0.69,0.69,35.79,0.1
139,Kane Wilson,0,63.64,0,6.55,0,36,0.2
140,Josh Eccles,1.22,77.14,0,0,1.22,42.57,0
141,Cameron Congreve,0,81.82,3.6,0,0,39.6,0
142,Rhys Norrington-Davies,0.5,71.43,0.5,0,0.5,38.5,0
