",,,,,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Dribbles,Dribbles,"
"Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report"
"2020-09-12,Sat,DFB-Pokal,First round,Away,W 4Ð1,Wolfsburg,Union FŸrstenwalde,Y,FW,62,0,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report"
"2020-09-17,Thu,Europa Lg,Second qualifying round,Away,W 4Ð0,de Wolfsburg,al Kuk‘si,Y,FW,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2020-09-20,Sun,Bundesliga,Matchweek 1,Home,D 0Ð0,Wolfsburg,Leverkusen,Y,FW,90,0,0,0,0,1,1,0,0,35,18,0,0,3,0.4,0.4,0.1,1,0,17,25,68.0,3,17,0,0,1,Match Report"
"2020-09-24,Thu,Europa Lg,Third qualifying round,Home,W 2Ð0,de Wolfsburg,ua Desna Chernihiv,Y,FW,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report"
"2020-09-27,Sun,Bundesliga,Matchweek 2,Away,D 1Ð1,Wolfsburg,Freiburg,N,FW,14,0,0,0,0,1,0,0,0,10,2,0,0,0,0.1,0.1,0.0,0,0,4,8,50.0,1,7,1,1,1,Match Report"
"2020-10-01,Thu,Europa Lg,Play-off round,Away,L 1Ð2,de Wolfsburg,gr AEK Athens,Y,FW,90,0,1,0,0,1,0,0,0,,,,1,,,,,,,,,,,,,,,Match Report"
"2020-10-04,Sun,Bundesliga,Matchweek 3,Home,D 0Ð0,Wolfsburg,Augsburg,Y,FW,90,0,0,0,0,3,2,0,0,31,10,1,0,0,0.1,0.1,0.1,3,0,17,21,81.0,0,15,1,0,1,Match Report"
"2020-10-17,Sat,Bundesliga,Matchweek 4,Away,D 1Ð1,Wolfsburg,M'Gladbach,Y,FW,90,1,0,0,0,4,2,0,0,43,17,1,0,0,0.5,0.5,0.0,1,0,22,29,75.9,2,26,2,0,0,Match Report"
"2020-10-25,Sun,Bundesliga,Matchweek 5,Home,W 2Ð1,Wolfsburg,Arminia,Y,FW,90,1,0,0,0,3,2,0,0,38,36,0,0,0,0.7,0.7,0.0,1,0,20,27,74.1,2,28,1,1,1,Match Report"
